,datetime,tweetid,text,username,userid,value
0,Thu Apr 06 00:51:45 +0000 2017,8.49786670769738E+017,"RT @polisen_skane: 2017-04-06 00:49, Skottlossning, Malmö Skott mot lägenhet, Malmö https://t.co/QF2p3xEFkj",cinaed,2161015418,none
1,Thu Apr 06 04:25:20 +0000 2017,8.49840421597577E+017,"Polis fick samtal om smällar i går kväll:
https://t.co/qRwrQtAZcG #svtuppsala",SVT Nyheter Uppsala,2863677953,none
2,Thu Apr 06 04:51:29 +0000 2017,8.4984700243114E+017,"Runt 20 skott har avlossats mot en lägenhet på Professorsgatan i Malmö.
– Det var folk hemma i lägenheten när den... https://t.co/JhsQxoACvO",Nordic News Center,633610122,none
3,Thu Apr 06 08:30:24 +0000 2017,8.49902093330559E+017,RT @Reklamprofessor: Malmö samlar stadens goda krafter efter ännu en skottlossning mot ett utsatt balkongfönster. https://t.co/1sbiQcX62I,Ulf Åkesson,7.80465044102509E+017,none
4,Thu Apr 06 19:48:39 +0000 2017,8.50072783115637E+017,Vild skottlossning i Trollhättan #asylkaos #svpol https://t.co/GOVJfdrVb7,GunillaJohansson,24128953,none
5,Thu Apr 06 19:51:32 +0000 2017,8.50073508512223E+017,"RT @NPiketen: Skottlossning Malmö 39 skott mot flerfamiljshus i Malmö.
(Rapport aktuellt INGEN NYHET)  

@svtnyheter 
#svpol #särpol 
#migp…",Rikard Branting,62354300,none
6,Thu Apr 06 05:56:22 +0000 2017,8.49863329640325E+017,Runt 20 skott har avlossats mot en lägenhet på Professorsgatan i Malmö. https://t.co/0X4y5qqpCU https://t.co/AJyixEUPWw,SVT Nyheter Skåne,276900758,none
7,Thu Apr 06 08:09:56 +0000 2017,8.49896944940056E+017,Malmö samlar stadens goda krafter efter ännu en skottlossning mot ett utsatt balkongfönster. https://t.co/1sbiQcX62I,Reklamprofessorn,7.02828687436161E+017,neg
8,Thu Apr 06 00:24:09 +0000 2017,8.49779724687638E+017,NYTT! #nyheter #sverige Flera larm om skottlossning – polisen hittade inget - Aftonbladet https://t.co/8iUUM3sdCW,NyheteriFokus,29410011,neg
9,Thu Apr 06 06:21:21 +0000 2017,8.49869619003314E+017,"Skottlossning,  misstänkt, Edsberg, Sollentuna, Stockholms län
Edsberg. Samtal kommer om misstänkt… #polisen #brott
https://t.co/Ai0pujSIi2",Brott i Stockholm,8.138159043625E+017,none
10,Thu Apr 06 22:36:52 +0000 2017,8.501151136717E+017,"Skottlossning på Sylte - man skjuten i benet

Nej....det är inte jag som skjutits.... https://t.co/ttkPmodwbe",Jan Andersson,562029988,none
11,Thu Apr 06 19:58:51 +0000 2017,8.50075347660022E+017,"Ljudlig smäll utanför. Hör uppspelta barnröster, så kanske inte skottlossning. Irriterande att det sker så ofta.",Mylar Malade,8.08675726316765E+017,none
12,Fri Apr 07 08:18:31 +0000 2017,8.50261492662321E+017,RT @ystad: Katt utsatt för skottlossning – polisen söker gärningsman https://t.co/tjxozlYx5c #YAnyhet #svkrim https://t.co/kOCQd237H5,Nisse psson,925161145,none
13,Fri Apr 07 13:22:53 +0000 2017,8.50338088014549E+017,Skottlossning på Kungsgatan #säkpol,Ekbohm,1276017595,pos
14,Fri Apr 07 13:27:29 +0000 2017,8.50339247232098E+017,RT @mottfull: Vittnesuppgifter om skottlossning enligt SVT. Polisen ropar ut varningar om terrordåd.,Sonny GG Karlsson,39512178,pos
15,Fri Apr 07 13:24:35 +0000 2017,8.50338517557359E+017,RT @ekbohm: Skottlossning på Kungsgatan #säkpol,Lennart,2848579143,pos
16,Fri Apr 07 13:23:23 +0000 2017,8.50338216075035E+017,RT @ekbohm: Skottlossning på Kungsgatan #säkpol,Säkpol_SE,2914427715,pos
17,Fri Apr 07 04:41:18 +0000 2017,8.50206826373104E+017,"RT @NPiketen: Skottlossning Malmö 39 skott mot flerfamiljshus i Malmö.
(Rapport aktuellt INGEN NYHET)  

@svtnyheter 
#svpol #särpol 
#migp…",Henning Munk,4185038309,none
18,Fri Apr 07 06:20:14 +0000 2017,8.5023172327098E+017,Man anhållen för skjutning i Trollhättan - Göteborgs-Posten https://t.co/5Wj2wWM8pE,Google News Sverige,254584350,none
19,Fri Apr 07 06:15:34 +0000 2017,8.50230548760887E+017,#Nyheter #Världen Man anhållen för skjutning i Trollhättan - Göteborgs-Posten https://t.co/S8SeFgOiht,NyheteriFokus,29410011,none
20,Fri Apr 07 13:27:25 +0000 2017,8.5033923044644E+017,Nya uppgifter om skottlossning i Stockholms city. Lastbil har dödat minst tre döda enligt @sr_ekot .,Fria Tider,99128675,pos
21,Fri Apr 07 04:19:46 +0000 2017,8.50201410603844E+017,Man anhållen för skjutning i Trollhättan - Sveriges Radio https://t.co/v8ZzExKlcJ,Google News Sverige,254584350,none
22,Fri Apr 07 12:59:39 +0000 2017,8.50332242052342E+017,Vad händer på Drottninggatan just nu? Skottlossning?,Johan Forsberg,5430382,pos
23,Fri Apr 07 13:42:43 +0000 2017,8.50343081044058E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",dilnaz,314664732,pos
24,Fri Apr 07 13:42:31 +0000 2017,8.50343031396082E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,Tatiana Maksimova,3070151882,pos
25,Fri Apr 07 13:42:00 +0000 2017,8.50342901494297E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Anne Skantz,2809771095,pos
26,Fri Apr 07 13:41:46 +0000 2017,8.50342841683517E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",Han Solin,206376531,pos
27,Fri Apr 07 13:41:35 +0000 2017,8.50342794728223E+017,"RT @dagensnyheter: JUST NU: Skottlossning på Fridhemsplan i Stockholm, enligt källor till DN https://t.co/7F4fSBafmk https://t.co/I8RPVi7DpR",monsun,486836841,pos
28,Fri Apr 07 13:42:53 +0000 2017,8.50343119690322E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,John H. Olsen,513051520,pos
29,Fri Apr 07 13:42:47 +0000 2017,8.50343095086481E+017,RT @dagensnyheter: JUST NU: Uppgifter om skottlossning på Hötorget i Stockholm https://t.co/CeVoQOi2Nx https://t.co/tg9JCrmHZ3,D.W.,2322790898,pos
